epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,284.7773742675781,10.92357349395752,284.7773742675781,2.0366604328155518,1.32401442527771,2.0366604328155518
1,8.54867935180664,1.8685581684112549,8.54867935180664,17.54070281982422,3.46621036529541,17.54070281982422
2,9.068227767944336,1.8814152479171753,9.068227767944336,20.162315368652344,3.771280288696289,20.162315368652344
3,8.81025505065918,1.8511866331100464,8.81025505065918,18.91928482055664,3.6284749507904053,18.91928482055664
4,8.495628356933594,1.8221181631088257,8.495628356933594,22.86269187927246,3.939190626144409,22.86269187927246
5,8.383408546447754,1.80604088306427,8.383408546447754,30.424732208251953,4.472818851470947,30.424732208251953
6,8.239214897155762,1.795371651649475,8.239214897155762,34.001220703125,4.7507734298706055,34.001216888427734
7,8.051274299621582,1.7716611623764038,8.051274299621582,24.722806930541992,4.161048412322998,24.722806930541992
8,7.770009994506836,1.7456307411193848,7.770009994506836,31.309858322143555,4.468435764312744,31.309858322143555
9,7.588482856750488,1.728220820426941,7.588482856750488,22.322429656982422,3.91208815574646,22.322429656982422
10,7.401163101196289,1.708620548248291,7.401163101196289,21.603086471557617,3.8456063270568848,21.603086471557617
